URL,Nom,Type,Departement,Ville,Cap été,Cap hiver,Cheminée,Bois,Eau,Couchage,Rando
Details,cabane jasse des llerbes,Cabane ouverte mais ocupée par le berger l'été,Ariège,Ax-les-Thermes,0,0,Oui,non,Oui,,
Details,refuge forestier du fournet,Cabane ouverte,Ariège,Mijanès,0,0,,,,,
Details,cabane d artignan,Cabane ouverte,Ariège,Sentein,2,2,Oui,non,non,Bas flancs,
Details,orri de beille,"Orri, Toue, abri en pierre",Ariège,Aston,,,,,Oui,,gr10
Details,cabane des genibres,Cabane ouverte,Ariège,Luzenac,0,0,Oui,,,,gr10 refuge du rulhe
Details,abri du pla del buc,Cabane ouverte,Pyrénées-Orientales,Les Angles,2,2,Oui,Oui,,2,source de l aude
Details,orri du carla,"Orri, Toue, abri en pierre",Ariège,Auzat,6,6,,,,"oui, pour 1 ou 2 personnes",montcalm soucarrane medecourbe etang fourcat malcaras
Details,cabane de la coma pedrosa,Cabane ouverte,Andorre,La Massana,5,0,Oui,,,Oui,pic de la coma pedrosa pic et estanys de baiau medacorba sanfons
Details,cabane des besines,Cabane ouverte,Ariège,Mérens-les-Vals,4,4,Oui,Oui,Oui,Bas flancs,porteille des besines pic pedros pic de la coume d or etang de lanoux
Details,cabane de la jasse de sedar,Cabane ouverte,Ariège,Axiat,6,6,Oui,Oui,Oui,Bas flancs,pic de st barthelemy pic de soularac
Details,orri des ludines,"Orri, Toue, abri en pierre",Ariège,Aston,2,2,,Oui,Oui,par terre,pic de beze et du pas du chien
Details,cabane espigous,Cabane ouverte,Haute-Pyrénées,Aulon,0,0,,,,,arbizon
Details,cabane col de bareges,Cabane ouverte,Catalonia,Boss,3,3,Oui,Oui,Oui,"pas de bat-flanc, sol béton",
Details,cabane campuls,Cabane ouverte mais ocupée par le berger l'été,Ariège,Bethmale,2,2,Oui,Oui,Oui,couchage en mezzanine (2 matel,pic du midi de bordes etang d ayes et boucle des 5 lacs
Details,refuge salvador,Cabane férmée,Ariège,Arrien-en-Bethmale,0,0,Oui,Oui,Oui,,pic du midi de bordes apres un premier contrefort reconnaissable a sa croix metallique noire
Details,cabane montcalm,Cabane ouverte,Ariège,Auzat,0,0,,,,,
Details,cabane du col de bayle,Cabane ouverte,Ariège,Gestiès,0,0,,,,,pics de baljesou et de beze
Details,refuge d estana,Cabane ouverte,Catalonia,Montell,36,36,,,Oui,"oui, 3 étages avec 36 matelas",crete de cadi
Details,gite retrouvance de terre davenir ou refuge du port de lers,Cabane férmée,Ariège,Suc-et-Sentenac,14,14,,,,14 lits avec couvertures.,pic des 3 seigneurs mont ceint
Details,cabane d ardinet,Cabane ouverte,Pyrénées-Atlantique,Lées-Athas,4,4,,Oui,Oui,mezzanine en bois,
Details,cabane d lhet,Cabane férmée,Haute-Pyrénées,Sarrancolin,6,6,Oui,Oui,,Lit superpose metallique. plan,montagne d areng cap nestes
Details,cabane artigou,Cabane ouverte,Ariège,Bonac-Irazein,3,3,Oui,Oui,,bat-flancs 3 personnes avec ma,pic de courbayran
Details,cabane du col des cassaings,Cabane ouverte,Ariège,Sentein,5,5,Oui,Oui,Oui,plancher en bois pour 5 person,pic courbayran variante gr10
